date,close
2016-10-27,688.31
2016-10-28,689.65
2016-10-29,714.48
2016-10-30,701.86
2016-10-31,700.97
2016-11-01,729.79
2016-11-02,740.83
2016-11-03,688.7
2016-11-04,703.24
2016-11-05,703.42
2016-11-06,711.52
2016-11-07,703.13
2016-11-08,709.85
2016-11-09,723.27
2016-11-10,715.53
2016-11-11,716.41
2016-11-12,705.05
2016-11-13,702.03
2016-11-14,705.02
2016-11-15,711.62
2016-11-16,744.2
2016-11-17,740.98
2016-11-18,751.59
2016-11-19,751.62
2016-11-20,731.03
2016-11-21,739.25
2016-11-22,751.35
2016-11-23,744.59
2016-11-24,740.29
2016-11-25,741.65
2016-11-26,735.38
2016-11-27,732.03
2016-11-28,735.81
2016-11-29,735.6
2016-11-30,745.69
2016-12-01,756.77
2016-12-02,777.94
2016-12-03,771.15
2016-12-04,773.87
2016-12-05,758.7
2016-12-06,764.22
2016-12-07,768.13
2016-12-08,770.81
2016-12-09,772.79
2016-12-10,774.65
2016-12-11,769.73
2016-12-12,780.09
2016-12-13,780.56
2016-12-14,781.48
2016-12-15,778.09
2016-12-16,784.91
2016-12-17,790.83
2016-12-18,790.53
2016-12-19,792.71
2016-12-20,800.88
2016-12-21,834.28
2016-12-22,864.54
2016-12-23,921.98
2016-12-24,898.82
2016-12-25,896.18
2016-12-26,907.61
2016-12-27,933.2
2016-12-28,975.92
2016-12-29,973.5
2016-12-30,961.24
2016-12-31,963.74
2017-01-01,998.33
2017-01-02,1021.75
2017-01-03,1043.84
2017-01-04,1154.73
2017-01-05,1013.38
2017-01-06,902.2
2017-01-07,908.59
2017-01-08,911.2
2017-01-09,902.83
2017-01-10,907.68
2017-01-11,777.76
2017-01-12,804.83
2017-01-13,823.98
2017-01-14,818.41
2017-01-15,821.8
2017-01-16,831.53
2017-01-17,907.94
2017-01-18,886.62
2017-01-19,899.07
2017-01-20,895.03
2017-01-21,921.79
2017-01-22,924.67
2017-01-23,921.01
2017-01-24,892.69
2017-01-25,901.54
2017-01-26,917.59
2017-01-27,919.75
2017-01-28,921.59
2017-01-29,919.5
2017-01-30,920.38
2017-01-31,970.4
2017-02-01,989.02
2017-02-02,1011.8
2017-02-03,1029.91
2017-02-04,1042.9
2017-02-05,1027.34
2017-02-06,1038.15
2017-02-07,1061.35
2017-02-08,1063.07
2017-02-09,994.38
2017-02-10,988.67
2017-02-11,1004.45
2017-02-12,999.18
2017-02-13,990.64
2017-02-14,1004.55
2017-02-15,1007.48
2017-02-16,1027.44
2017-02-17,1046.21
2017-02-18,1054.42
2017-02-19,1047.87
2017-02-20,1079.98
2017-02-21,1115.3
2017-02-22,1117.44
